"","county","state","tract","B01001_001E","ukrainian","turkish","romanian","russian","polish","german","italian","french","arabian","fips","boro_ct2010"
"81","47","36","043300",4284,0,0,0,0,8,55,26,0,0,3,"3043300"
"82","47","36","048900",3595,0,0,0,0,0,0,0,13,0,3,"3048900"
"83","47","36","052800",1868,28,5,15,125,153,36,81,19,26,3,"3052800"
"84","47","36","012700",4768,10,12,7,41,50,181,220,126,7,3,"3012700"
"85","47","36","010600",4862,0,0,0,25,54,18,12,0,37,3,"3010600"
"86","47","36","010800",4303,9,0,0,29,46,51,78,9,20,3,"3010800"
"87","47","36","017100",4098,18,7,25,207,193,608,666,101,45,3,"3017100"
"88","47","36","039600",1824,0,0,12,22,45,0,250,0,309,3,"3039600"
"89","47","36","014300",3631,7,0,0,43,175,344,313,90,31,3,"3014300"
"90","47","36","022100",4174,0,0,0,101,81,144,137,0,0,3,"3022100"
"91","47","36","022800",3748,0,0,37,55,321,22,33,0,0,3,"3022800"
"92","47","36","023100",3376,11,0,33,83,73,138,66,55,0,3,"3023100"
"93","47","36","023600",5669,0,0,59,62,344,126,32,0,0,3,"3023600"
"94","47","36","042700",5303,0,0,0,47,54,236,315,19,20,3,"3042700"
"95","47","36","116800",1732,0,0,0,0,1,0,10,0,0,3,"3116800"
"96","47","36","043600",4532,293,0,49,272,183,48,349,0,99,3,"3043600"
"97","47","36","044300",4896,10,0,19,0,75,92,255,45,9,3,"3044300"
"98","47","36","020300",1764,0,0,2,53,47,86,102,15,5,3,"3020300"
"99","47","36","020500",2907,10,0,0,41,101,385,227,172,25,3,"3020500"
"100","47","36","021400",2194,0,0,52,78,17,11,186,0,27,3,"3021400"
"101","47","36","021700",4035,0,0,21,92,40,127,136,70,67,3,"3021700"
"102","47","36","113200",1956,0,0,0,0,0,25,16,8,0,3,"3113200"
"103","47","36","059200",4641,594,85,26,487,42,49,123,8,9,3,"3059200"
"104","47","36","063600",1453,56,0,18,87,57,72,233,0,0,3,"3063600"
"105","47","36","064800",2240,0,0,0,15,56,90,208,21,115,3,"3064800"
"106","47","36","065200",1053,0,0,0,19,18,34,439,0,0,3,"3065200"
"107","47","36","042900",5327,9,0,0,89,131,101,135,16,19,3,"3042900"
"108","47","36","032500",6881,0,0,0,5,55,91,27,4,0,3,"3032500"
"109","47","36","049300",7797,0,0,17,85,127,261,285,62,0,3,"3049300"
"110","47","36","049400",5930,90,10,33,277,274,180,314,32,72,3,"3049400"
"111","47","36","047700",3816,22,27,0,80,251,423,696,126,0,3,"3047700"
"112","47","36","050700",2667,0,0,8,0,56,7,0,8,0,3,"3050700"
"113","47","36","010200",5081,0,0,0,0,73,0,61,35,0,3,"3010200"
"114","47","36","011000",2702,0,0,5,13,205,61,41,0,13,3,"3011000"
"115","47","36","013400",4035,42,0,28,96,150,166,442,11,409,3,"3013400"
"116","47","36","013600",3919,0,7,22,18,118,278,648,8,425,3,"3013600"
"117","47","36","051400",7947,33,18,18,60,134,85,167,17,37,3,"3051400"
"118","47","36","053900",2564,0,0,52,0,16,0,13,6,13,3,"3053900"
"119","47","36","003600",4245,169,0,27,185,198,167,557,9,365,3,"3003600"
"120","47","36","056600",2821,95,6,20,165,103,27,298,5,105,3,"3056600"
"121","47","36","057600",3141,127,0,5,319,16,0,166,6,53,3,"3057600"
"122","47","36","011800",2112,0,0,0,0,10,14,35,0,0,3,"3011800"
"123","47","36","007000",2552,42,0,0,177,54,23,203,16,347,3,"3007000"
"124","47","36","038600",3730,8,0,0,12,10,100,880,20,86,3,"3038600"
"125","47","36","026300",1834,0,0,0,7,17,21,31,45,0,3,"3026300"
"126","47","36","027900",3705,0,0,0,0,35,74,62,27,0,3,"3027900"
"127","47","36","029400",2493,105,0,0,188,10,16,170,5,102,3,"3029400"
"128","47","36","017400",2081,76,0,0,106,91,5,531,14,199,3,"3017400"
"129","47","36","040800",3499,106,37,0,13,6,0,588,0,0,3,"3040800"
"130","47","36","098200",4535,0,0,0,0,8,0,22,0,0,3,"3098200"
"131","47","36","004600",1378,3,0,0,0,59,66,289,9,63,3,"3004600"
